# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cpu-cycles'
# Event count (approx.): 1777120
#
# Overhead  Command  Source Shared Object  Source Symbol                                                Target Symbol                                                Basic Block Cycles
# ........  .......  ....................  ...........................................................  ...........................................................  ..................
#
     0.03%  wrk      [kernel.kallsyms]     [k] nf_nat_inet_fn                                           [k] nf_nat_ipv4_fn                                           -                 
     0.03%  wrk      libc-2.31.so          [.] _int_malloc                                              [.] _int_memalign                                            -                 
     0.03%  wrk      [kernel.kallsyms]     [k] validate_xmit_xfrm                                       [k] validate_xmit_xfrm                                       -                 
     0.03%  wrk      [kernel.kallsyms]     [k] ep_modify                                                [k] ep_modify                                                -                 
     0.03%  wrk      libc-2.31.so          [k] resolv_conf_matches                                      [k] entry_SYSCALL_64                                         -                 
     0.03%  wrk      [kernel.kallsyms]     [k] ipt_do_table                                             [k] __local_bh_enable_ip                                     -                 
     0.03%  wrk      wrk                   [.] lj_snap_restore                                          [.] lj_snap_restore                                          -                 
     0.03%  wrk      [kernel.kallsyms]     [k] br_nf_pre_routing                                        [k] br_nf_pre_routing                                        -                 
     0.03%  wrk      [kernel.kallsyms]     [k] __dev_queue_xmit                                         [k] dev_hard_start_xmit                                      -                 
     0.03%  wrk      [kernel.kallsyms]     [k] ip_vs_out                                                [k] ip_vs_out                                                -                 
     0.03%  wrk      libc-2.31.so          [.] __strncat_ssse3                                          [.] __resolv_context_get                                     -                 
     0.03%  wrk      [kernel.kallsyms]     [k] ip_output                                                [k] ip_output                                                -                 
     0.03%  wrk      [kernel.kallsyms]     [k] deactivate_task                                          [k] deactivate_task                                          -                 
