# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cycles:ppp'
# Event count (approx.): 3789
#
# Overhead  Command       Source Shared Object  Source Symbol                                  Target Symbol                                  Basic Block Cycles
# ........  ............  ....................  .............................................  .............................................  ..................
#
     0.11%  redis-server  [kernel.kallsyms]     [k] perf_event_output_forward                  [k] perf_output_end                            1                 
     0.11%  redis-server  [kernel.kallsyms]     [k] perf_event_overflow                        [k] __intel_pmu_pebs_event                     1                 
     0.11%  redis-server  [kernel.kallsyms]     [k] perf_output_copy                           [k] perf_output_sample                         3                 
     0.11%  redis-server  [kernel.kallsyms]     [k] perf_output_end                            [k] perf_event_output_forward                  1                 
     0.11%  redis-server  [kernel.kallsyms]     [k] perf_output_end                            [k] perf_output_put_handle                     1                 
     0.11%  redis-server  [kernel.kallsyms]     [k] filp_close                                 [k] locks_remove_posix                         1                 
     0.11%  redis-server  [kernel.kallsyms]     [k] inode_permission                           [k] link_path_walk                             1                 
     0.11%  redis-server  [kernel.kallsyms]     [k] seq_put_decimal_ull                        [k] do_task_stat                               13                
     0.11%  redis-server  [kernel.kallsyms]     [k] seq_put_decimal_ull                        [k] strlen                                     12                
     0.11%  redis-server  [kernel.kallsyms]     [k] ep_poll                                    [k] schedule_hrtimeout_range                   1                 
     0.11%  redis-server  [kernel.kallsyms]     [k] put_dec_trunc8                             [k] put_dec                                    22                
     0.11%  redis-server  [kernel.kallsyms]     [k] put_dec_full8                              [k] put_dec                                    27                
     0.11%  redis-server  [kernel.kallsyms]     [k] schedule_hrtimeout_range_clock             [k] schedule_hrtimeout_range                   18                
     0.11%  redis-server  [kernel.kallsyms]     [.] schedule_hrtimeout_range                   [.] ep_poll                                    25                
     0.11%  redis-server  [kernel.kallsyms]     [k] _raw_spin_unlock_irqrestore                [k] ep_poll                                    30                
     0.11%  redis-server  [kernel.kallsyms]     [k] __indirect_thunk_start                     [k] read_tsc                                   3                 
     0.08%  redis-server  redis-server          [.] afterSleep                                 [.] aeProcessEvents                            29                
     0.08%  redis-server  redis-server          [.] tryResizeHashTables                        [.] databasesCron                              13                
     0.08%  redis-server  redis-server          [.] tryResizeHashTables                        [.] databasesCron                              12                
     0.08%  redis-server  redis-server          [.] tryResizeHashTables                        [.] databasesCron                              9                 
     0.08%  redis-server  redis-server          [.] tryResizeHashTables                        [.] databasesCron                              8                 
     0.08%  redis-server  redis-server          [.] clientsCron                                [.] clientsCronResizeQueryBuffer               1                 
     0.08%  redis-server  redis-server          [.] clientsCron                                [.] serverCron                                 3                 
     0.08%  redis-server  redis-server          [.] serverCron                                 [.] databasesCron                              1                 
     0.08%  redis-server  redis-server          [.] get_proc_stat_ll                           [.] strtoll@plt                                7                 
     0.08%  redis-server  redis-server          [.] get_proc_stat_ll                           [.] strchr@plt                                 3                 
     0.08%  redis-server  redis-server          [.] getClientMemoryUsage                       [.] updateClientMemoryUsage                    3                 
     0.08%  redis-server  redis-server          [.] getClientType                              [.] updateClientMemoryUsage                    2                 
     0.08%  redis-server  redis-server          [.] getMonotonicUs_posix                       [.] aeProcessEvents                            14                
     0.08%  redis-server  redis-server          [.] je_arena_stats_merge                       [.] pthread_mutex_trylock@plt                  6                 
     0.08%  redis-server  redis-server          [.] je_arena_stats_merge                       [.] je_base_stats_get                          2                 
     0.08%  redis-server  redis-server          [.] je_arena_stats_merge                       [.] je_extents_nextents_get                    5                 
     0.08%  redis-server  redis-server          [.] je_base_stats_get                          [.] pthread_mutex_trylock@plt                  5                 
     0.08%  redis-server  redis-server          [.] ctl_lookup                                 [.] strlen@plt                                 2                 
     0.08%  redis-server  redis-server          [.] arenas_i_impl                              [.] ctl_refresh                                33                
     0.08%  redis-server  redis-server          [.] ctl_arena_stats_sdmerge                    [.] je_nstime_add                              28                
     0.08%  redis-server  redis-server          [.] ctl_arena_stats_sdmerge                    [.] je_nstime_add                              25                
     0.08%  redis-server  redis-server          [.] ctl_arena_stats_sdmerge                    [.] je_nstime_add                              24                
     0.08%  redis-server  redis-server          [.] ctl_refresh                                [.] arenas_i_impl                              17                
     0.08%  redis-server  redis-server          [.] ctl_refresh                                [.] arenas_i_impl                              7                 
     0.08%  redis-server  redis-server          [.] ctl_refresh                                [.] arenas_i_impl                              6                 
     0.08%  redis-server  redis-server          [.] je_ctl_byname                              [.] zmalloc_get_allocator_info                 3                 
     0.08%  redis-server  redis-server          [.] je_ctl_byname                              [.] epoch_ctl                                  22                
     0.08%  redis-server  redis-server          [.] je_nstime_compare                          [.] ctl_arena_stats_sdmerge                    7                 
     0.08%  redis-server  redis-server          [.] je_nstime_compare                          [.] ctl_arena_stats_sdmerge                    3                 
     0.08%  redis-server  redis-server          [.] je_nstime_add                              [.] ctl_arena_stats_sdmerge                    5                 
     0.08%  redis-server  libpthread-2.31.so    [.] __pthread_mutex_trylock                    [.] je_arena_stats_merge                       43                
     0.08%  redis-server  libpthread-2.31.so    [.] __pthread_mutex_trylock                    [.] je_arena_stats_merge                       42                
     0.08%  redis-server  libpthread-2.31.so    [.] __pthread_mutex_unlock_usercnt             [.] je_arena_stats_merge                       43                
     0.08%  redis-server  libpthread-2.31.so    [.] __pthread_mutex_unlock_usercnt             [.] je_arena_stats_merge                       28                
     0.08%  redis-server  libpthread-2.31.so    [k] __libc_read                                [k] get_proc_stat_ll                           5                 
     0.08%  redis-server  libpthread-2.31.so    [k] __open64                                   [k] 0xfffffe000074c000                         41                
     0.08%  redis-server  libc-2.31.so          [.] clock_gettime                              [.] getMonotonicUs_posix                       28                
     0.08%  redis-server  libc-2.31.so          [.] 0x00007f7273b382df                         [.] ctl_refresh                                721               
     0.08%  redis-server  libc-2.31.so          [.] 0x00007f7273b39c34                         [.] get_proc_stat_ll                           61                
     0.08%  redis-server  [vdso]                [k] __vdso_gettimeofday                        [k] 0x00007ffc55ba8970                         47                
     0.08%  redis-server  [vdso]                [.] __vdso_gettimeofday                        [.] 0x00007ffc55ba8970                         9                 
     0.08%  redis-server  [vdso]                [.] 0x00007ffc55ba898d                         [.] __vdso_gettimeofday                        45                
     0.08%  redis-server  [kernel.kallsyms]     [k] do_syscall_64                              [k] __indirect_thunk_start                     19                
     0.08%  redis-server  [kernel.kallsyms]     [k] __intel_pmu_enable_all.constprop.23        [k] native_write_msr                           6                 
     0.08%  redis-server  [kernel.kallsyms]     [k] intel_pmu_handle_irq                       [k] __intel_pmu_enable_all.constprop.23        6                 
     0.08%  redis-server  [kernel.kallsyms]     [k] intel_pmu_handle_irq                       [k] native_read_msr                            2                 
     0.08%  redis-server  [kernel.kallsyms]     [k] sched_clock                                [k] sched_clock_cpu                            1                 
     0.08%  redis-server  [kernel.kallsyms]     [k] task_work_add                              [k] fput_many                                  17                
     0.08%  redis-server  [kernel.kallsyms]     [k] sched_clock_cpu                            [k] sched_clock                                2                 
     0.08%  redis-server  [kernel.kallsyms]     [k] sched_clock_cpu                            [k] update_rq_clock                            2                 
     0.08%  redis-server  [kernel.kallsyms]     [.] update_blocked_averages                    [.] decay_load                                 1                 
     0.08%  redis-server  [kernel.kallsyms]     [.] update_blocked_averages                    [.] __accumulate_pelt_segments                 3                 
     0.08%  redis-server  [kernel.kallsyms]     [k] ktime_get_ts64                             [k] __indirect_thunk_start                     9                 
     0.08%  redis-server  [kernel.kallsyms]     [k] seccomp_run_filters                        [k] __indirect_thunk_start                     47                
     0.08%  redis-server  [kernel.kallsyms]     [k] __seccomp_filter                           [k] __secure_computing                         8                 
     0.08%  redis-server  [kernel.kallsyms]     [.] perf_ctx_unlock                            [.] perf_pmu_sched_task                        13                
     0.08%  redis-server  [kernel.kallsyms]     [k] __perf_event_overflow                      [k] perf_event_overflow                        9                 
     0.08%  redis-server  [kernel.kallsyms]     [.] __perf_event_task_sched_in                 [.] finish_task_switch                         6                 
     0.08%  redis-server  [kernel.kallsyms]     [k] perf_output_copy                           [k] memcpy                                     11                
     0.08%  redis-server  [kernel.kallsyms]     [k] perf_output_copy                           [k] memcpy                                     6                 
     0.08%  redis-server  [kernel.kallsyms]     [k] kmem_cache_alloc                           [k] memcg_kmem_put_cache                       3                 
     0.08%  redis-server  [kernel.kallsyms]     [k] filp_close                                 [k] fput                                       8                 
     0.08%  redis-server  [kernel.kallsyms]     [k] filp_close                                 [k] __close_fd                                 4                 
     0.08%  redis-server  [kernel.kallsyms]     [k] sys_close                                  [k] do_syscall_64                              6                 
     0.08%  redis-server  [kernel.kallsyms]     [k] fput_many                                  [k] task_work_add                              54                
     0.08%  redis-server  [kernel.kallsyms]     [k] fput                                       [k] fput_many                                  11                
     0.08%  redis-server  [kernel.kallsyms]     [.] terminate_walk                             [.] mntput                                     1                 
     0.08%  redis-server  [kernel.kallsyms]     [k] inode_permission                           [k] __inode_permission                         2                 
     0.08%  redis-server  [kernel.kallsyms]     [k] legitimize_path.isra.29                    [k] lockref_get_not_dead                       2                 
     0.08%  redis-server  [kernel.kallsyms]     [.] dput                                       [.] terminate_walk                             1                 
     0.08%  redis-server  [kernel.kallsyms]     [k] __close_fd                                 [k] filp_close                                 41                
     0.08%  redis-server  [kernel.kallsyms]     [k] __close_fd                                 [k] sys_close                                  2                 
     0.08%  redis-server  [kernel.kallsyms]     [k] __close_fd                                 [k] _raw_spin_lock                             24                
     0.08%  redis-server  [kernel.kallsyms]     [.] mntput                                     [.] terminate_walk                             1                 
     0.08%  redis-server  [kernel.kallsyms]     [.] mntput                                     [.] mntput_no_expire                           2                 
     0.08%  redis-server  [kernel.kallsyms]     [k] seq_put_decimal_ull                        [k] do_task_stat                               12                
     0.08%  redis-server  [kernel.kallsyms]     [k] seq_put_decimal_ull                        [k] strlen                                     13                
